record_id,age,annual_income,monthly_spending,hours_sleep,study_hours_per_week,commute_minutes,exam_score
1096,21,51772.0,3587.99,7.3,8.0,27,88.3
1097,22,59419.0,4043.51,9.1,9.3,31,82.7
1098,25,37491.0,3333.3,8.4,4.9,30,85.9
1099,39,71947.0,3343.84,6.7,5.3,28,96.2
1100,26,70750.0,4106.13,6.5,10.1,38,85.3
1101,31,63666.0,3134.79,6.7,7.0,28,87.8
1102,48,67953.0,2397.78,7.5,16.0,12,77.7
1103,31,61558.0,2744.08,6.9,2.5,52,73.9
1104,42,119183.0,3897.3,6.6,11.7,52,90.8
1105,26,53210.0,3203.29,8.3,8.4,53,81.9
1106,33,48942.0,3574.23,6.9,4.4,10,89.3
1107,25,41305.0,3937.09,9.1,10.4,43,92.8
1108,32,37154.0,2787.67,7.1,3.9,50,76.0
1109,43,34276.0,4031.87,8.6,7.1,19,84.0
1110,18,39236.0,3616.73,7.3,2.0,38,54.8
1111,39,53542.0,1841.71,7.9,0.4,36,60.4
1112,37,62450.0,4786.54,6.3,5.1,71,
1113,29,56079.0,2649.18,6.2,5.1,73,57.5
1114,21,41117.0,1379.4,7.4,5.5,8,74.2
1115,36,77432.0,2050.45,7.9,12.3,83,93.9
1116,30,72843.0,2076.85,7.0,14.3,22,100.0
1117,37,51763.0,3257.39,5.8,9.2,56,94.5
1118,35,42915.0,2898.76,5.8,11.7,55,86.8
1119,51,67744.0,2829.48,5.7,4.0,20,88.2
1120,33,59072.0,3881.67,5.4,3.2,47,65.4
1121,25,31723.0,3573.86,7.1,10.5,36,100.0
1122,37,53597.0,3547.65,8.0,2.9,48,5.0
1123,37,60758.0,3650.81,7.0,2.6,42,85.5
1124,49,39074.0,3877.75,5.0,36.5,60,100.0
1125,43,59114.0,881.25,6.8,7.8,39,75.5
1126,39,31642.0,2799.12,6.9,5.1,35,77.8
1127,50,91385.0,801.77,8.9,4.6,58,85.7
1128,23,88372.0,3239.67,5.7,2.0,48,65.9
1129,29,49968.0,3194.9,6.6,9.1,51,93.8
1130,26,63146.0,4350.09,8.5,5.9,26,79.2
1131,31,22011.0,4506.4,7.4,14.1,19,100.0
1132,21,35443.0,3423.05,7.5,10.8,28,98.2
1133,41,49190.0,2649.6,7.1,5.7,27,81.1
1134,33,36595.0,3733.68,7.3,1.0,52,67.4
1135,20,72154.0,2619.29,7.7,7.8,56,89.1
1136,25,117484.0,3198.47,6.3,7.3,35,89.2
1137,38,35171.0,4284.75,7.8,0.8,64,93.0
1138,43,40009.0,2586.45,5.8,9.9,63,97.8
1139,55,60148.0,4086.25,7.3,2.8,42,85.5
1140,64,101449.0,3945.14,7.2,14.6,23,100.0
1141,39,34565.0,2149.73,6.4,7.0,66,88.4
1142,25,60459.0,4271.28,7.0,4.5,37,83.7
1143,18,109884.0,3968.42,6.4,8.6,40,93.8
1144,38,29361.0,3312.12,6.0,8.2,32,75.0
1145,27,33802.0,2361.44,6.7,8.0,22,81.6
1146,31,46822.0,2254.87,6.0,13.3,12,91.2
1147,29,45128.0,2608.57,7.3,9.0,49,95.9
1148,34,74898.0,3796.85,6.0,4.2,24,74.5
1149,46,60290.0,2148.81,7.6,6.0,93,84.8
1150,37,28018.0,3681.26,5.9,18.0,18,100.0
1151,33,66899.0,1834.07,6.5,3.9,15,85.2
1152,25,44162.0,2975.52,6.4,9.8,47,87.7
1153,18,89266.0,3320.61,8.2,13.6,66,94.6
1154,30,43330.0,5889.64,7.3,10.5,39,100.0
1155,34,43182.0,1684.95,6.8,7.8,48,93.5
1156,53,67556.0,4819.22,7.4,8.7,5,72.9
1157,36,73497.0,3364.83,5.1,10.9,26,86.0
1158,45,65210.0,3652.29,7.0,3.9,19,79.2
1159,30,28986.0,3330.18,8.8,7.3,5,96.4
1160,23,67477.0,3689.2,7.1,27.2,40,100.0
1161,25,37125.0,3030.95,7.1,10.0,5,94.0
1162,28,60144.0,4799.46,7.5,8.0,14,93.5
1163,56,32019.0,2697.88,7.8,5.6,28,83.6
1164,27,65166.0,4445.46,5.2,3.9,23,67.2
1165,43,40481.0,2491.2,5.5,8.9,45,83.0
1166,26,33782.0,3133.72,7.2,9.3,44,90.0
1167,44,72138.0,2020.84,6.4,7.0,54,82.9
1168,39,,3700.53,8.2,34.1,52,100.0
1169,33,43555.0,4789.64,6.7,4.2,59,73.7
1170,35,95467.0,3114.91,5.3,3.4,38,73.6
1171,28,46520.0,2983.43,5.9,5.6,43,76.3
1172,39,55675.0,1973.92,4.5,7.1,47,77.2
1173,30,60917.0,2947.78,6.8,3.7,41,81.6
1174,23,43461.0,1447.93,6.8,8.8,31,77.2
1175,22,65783.0,2195.83,6.6,9.4,32,72.6
1176,37,44908.0,3449.46,8.0,11.8,23,93.5
1177,51,47036.0,4650.91,8.1,5.0,46,89.8
1178,37,92309.0,6290.13,6.8,17.1,36,100.0
1179,34,37037.0,2554.76,5.1,11.3,26,97.9
1180,38,21988.0,4778.83,7.6,4.1,26,64.5
1181,48,101442.0,3468.13,7.5,3.7,16,75.8
1182,37,144905.0,3033.63,7.3,5.9,56,85.1
1183,31,47150.0,3675.85,7.9,9.5,39,93.5
1184,46,26346.0,3268.11,6.0,10.4,22,95.3
1185,39,48879.0,3321.44,8.8,11.3,53,88.3
1186,50,49332.0,2750.83,6.1,26.1,28,100.0
1187,37,51170.0,1662.08,7.7,1.4,13,77.7
1188,23,36026.0,1502.01,5.5,6.8,56,89.2
1189,21,320000.0,3918.57,6.2,24.7,28,100.0
1190,52,67131.0,2895.63,8.4,12.2,31,95.2
1191,52,31170.0,2544.3,6.8,3.2,39,48.6
1192,33,71739.0,3209.36,7.8,8.5,59,83.1
1193,31,119983.0,4074.43,7.2,6.5,38,78.5
1194,50,58714.0,3398.4,6.9,6.4,16,72.7
1195,24,48383.0,2478.34,8.2,4.9,48,83.8
1196,26,52111.0,4548.92,6.8,8.0,29,85.6
1197,41,69486.0,4937.1,5.4,15.1,72,76.4
1198,31,28494.0,3744.01,6.3,5.2,38,81.2
1199,35,58545.0,4271.03,7.5,11.3,5,85.6
1200,33,47416.0,4566.16,7.4,12.7,44,100.0
1201,38,110997.0,4443.11,5.6,17.0,73,90.8
1202,49,51478.0,3875.51,6.3,3.7,66,76.0
1203,36,103661.0,3858.18,6.5,7.5,71,81.7
1204,41,36158.0,3771.63,6.7,4.5,20,81.3
1205,18,68751.0,1992.93,5.8,8.0,54,85.4
1206,35,62097.0,3970.8,6.4,7.9,25,82.6
1207,27,39531.0,1708.6,6.3,2.9,42,58.6
1208,23,58835.0,2325.94,7.7,8.3,15,73.9
1209,26,87190.0,4633.92,7.7,26.9,26,100.0
1210,32,48633.0,4124.24,6.9,10.4,26,91.6
1211,44,28916.0,4836.14,6.6,2.4,54,67.4
1212,22,54634.0,2901.16,7.1,3.5,52,83.2
1213,35,39033.0,1932.53,6.3,7.3,43,80.9
1214,30,48291.0,2935.52,6.0,3.5,14,65.0
1215,32,53321.0,3312.23,6.2,16.4,32,100.0
1216,45,28766.0,3286.89,6.4,2.1,25,74.7
1217,40,29766.0,4447.05,6.0,10.5,54,93.3
1218,48,66057.0,2802.6,7.1,1.7,59,91.7
1219,33,45092.0,3587.24,7.7,7.2,57,79.6
1220,28,20754.0,2112.51,5.6,3.1,24,72.3
1221,33,74112.0,3695.35,7.0,11.8,5,99.2
1222,37,60998.0,3203.42,6.8,14.7,6,100.0
1223,37,41932.0,2375.21,7.3,9.4,64,85.3
1224,24,33346.0,2940.59,7.0,15.1,31,86.7
1225,36,75561.0,2997.41,5.7,0.6,24,62.6
1226,37,62808.0,2902.83,5.9,8.2,68,74.1
1227,60,136009.0,5148.48,7.0,10.4,61,74.6
1228,54,64522.0,3091.71,7.9,11.3,38,87.7
1229,26,63730.0,2931.71,5.0,10.0,33,76.5
1230,32,51620.0,892.8,7.3,11.5,36,100.0
1231,20,75016.0,2216.37,8.1,8.2,42,95.3
1232,29,69746.0,2910.62,6.9,2.4,67,65.0
1233,38,88499.0,2445.56,7.5,4.9,46,78.2
1234,47,45116.0,4719.88,6.4,16.5,51,85.5
1235,28,46613.0,3018.57,6.9,15.3,59,97.5
1236,28,45845.0,4617.29,5.5,10.3,17,92.6
1237,18,74280.0,3267.88,4.9,12.0,52,99.4
1238,33,97195.0,3240.95,7.8,14.1,33,94.5
1239,24,46200.0,3102.32,6.1,10.2,5,100.0
1240,30,46802.0,3204.18,6.6,16.2,5,88.7
1241,26,61972.0,5090.67,5.8,15.8,20,88.9
1242,34,50096.0,648.43,5.7,32.2,48,100.0
1243,18,78974.0,998.3,6.8,5.0,40,96.3
1244,20,23375.0,2602.51,6.3,5.1,41,83.8
1245,56,40173.0,3215.98,7.3,9.7,73,90.5
1246,22,40854.0,3959.11,7.4,23.8,15,100.0
1247,24,22774.0,3720.4,7.3,17.0,38,86.8
1248,53,38136.0,2777.33,7.2,13.0,43,99.3
1249,64,38845.0,4320.95,8.4,17.7,25,100.0
1250,23,50953.0,4333.21,6.0,10.5,39,79.0
1251,31,83953.0,3402.46,7.0,6.0,9,82.9
1252,38,50109.0,4258.92,8.0,27.5,63,100.0
1253,52,37175.0,3499.91,8.1,10.0,26,100.0
1254,25,53822.0,2582.37,5.7,15.6,75,100.0
1255,33,81943.0,3967.6,6.7,0.5,37,81.8
1256,43,37958.0,3321.67,8.2,0.7,57,73.0
1257,39,38912.0,3201.47,7.5,8.4,37,87.3
1258,31,68005.0,4820.25,7.2,3.5,37,87.7
1259,34,50559.0,504.04,6.8,9.0,27,78.6
1260,21,70343.0,1640.55,6.7,5.1,40,100.0
1261,33,54716.0,1894.22,7.3,35.1,44,100.0
1262,32,71806.0,2800.41,6.8,14.8,24,100.0
1263,37,37114.0,2919.93,7.0,18.8,36,100.0
1264,29,54748.0,1541.94,7.1,0.9,27,90.0
1265,40,50768.0,2116.33,6.4,12.8,79,100.0
1266,45,34650.0,2253.07,7.5,6.5,36,68.2
1267,37,30363.0,5903.17,9.6,19.1,66,100.0
1268,39,71373.0,5181.92,5.4,11.6,34,87.9
1269,36,48133.0,2747.08,7.3,7.3,43,86.7
1270,35,37295.0,2800.06,6.3,2.7,14,60.7
1271,28,53026.0,1935.88,7.5,8.3,30,93.5
1272,38,84435.0,22000.0,7.0,16.2,42,98.1
1273,34,23119.0,3071.43,7.7,19.8,67,100.0
1274,56,31144.0,2102.36,8.1,5.7,42,80.9
1275,51,38731.0,3106.66,7.2,31.6,63,100.0
1276,39,95831.0,1439.77,8.0,15.4,50,100.0
1277,27,61235.0,2361.83,4.9,3.6,67,73.2
1278,24,73620.0,3363.49,8.4,2.9,37,78.8
1279,47,35662.0,3602.83,7.3,6.9,81,
1280,38,35942.0,3659.22,8.0,5.7,29,94.6
1281,40,65203.0,1747.46,5.9,10.6,24,86.8
1282,18,56232.0,4140.15,6.3,7.7,16,80.3
1283,44,67752.0,2319.77,7.1,6.1,80,92.4
1284,40,51214.0,3896.14,7.0,1.8,53,67.6
1285,24,61132.0,3188.3,7.3,11.9,32,95.4
1286,30,58406.0,1685.97,8.0,1.7,60,58.9
1287,38,73913.0,2852.18,5.4,15.4,50,100.0
1288,36,74739.0,3601.9,7.9,1.1,73,92.6
1289,32,29719.0,3874.26,7.0,1.6,10,79.7
1290,34,23415.0,3044.91,6.8,3.6,33,91.1
1291,32,80479.0,4884.96,5.7,5.3,30,69.6
1292,37,86372.0,4308.26,7.5,4.5,5,82.3
1293,50,37319.0,2917.68,4.8,5.3,57,66.8
1294,18,27129.0,4025.13,7.6,9.1,33,87.9
1295,33,57109.0,5327.17,5.7,3.7,51,82.3
1296,37,78339.0,5356.53,7.0,9.2,80,90.3
1297,38,108899.0,1849.2,6.9,0.6,32,56.0
1298,31,66922.0,2180.81,8.1,3.5,30,65.7
1299,18,47755.0,4833.41,6.8,1.5,40,58.1
1300,38,39171.0,2035.89,6.4,15.3,56,100.0
1301,52,55240.0,1745.2,6.5,4.1,28,97.7
1302,20,49088.0,2665.19,,11.4,27,100.0
1303,44,37398.0,3662.25,7.5,1.2,57,100.0
1304,32,119804.0,3087.36,6.7,19.5,45,100.0
1305,34,108386.0,2484.38,6.8,8.0,5,95.6
1306,24,84693.0,2458.37,5.6,7.4,16,67.0
1307,32,38761.0,2416.43,7.3,1.9,65,70.7
1308,48,76115.0,2232.54,5.4,3.2,45,83.8
1309,41,70133.0,5709.8,7.7,6.2,24,89.5
1310,52,65072.0,3527.26,7.1,3.3,35,63.4
1311,47,88430.0,4175.43,9.1,14.3,38,100.0
1312,39,70020.0,2662.01,6.0,7.9,51,63.0
1313,52,72860.0,2995.45,6.9,3.3,14,73.8
1314,39,70060.0,2415.09,8.6,12.9,23,100.0
1315,43,62604.0,500.0,8.1,5.6,43,83.7
1316,32,27926.0,1684.19,6.4,12.5,36,90.3
1317,36,56776.0,1208.32,7.2,4.9,48,89.1
1318,28,44522.0,725.24,7.0,10.8,16,100.0
1319,45,33818.0,1885.11,7.3,5.4,44,94.6
1320,23,104212.0,4657.45,6.4,14.3,58,100.0
1321,43,106097.0,3151.12,6.9,1.2,47,82.3
1322,33,92189.0,4619.62,5.6,2.5,41,79.0
1323,47,60601.0,3652.08,7.1,6.7,36,86.6
1324,43,91888.0,4060.81,7.4,4.2,23,79.9
1325,53,55252.0,2209.01,6.8,5.3,37,77.9
1326,42,59406.0,3776.35,5.5,11.7,61,79.6
1327,19,36300.0,4001.59,7.9,5.2,36,72.7
1328,34,63956.0,2565.69,7.3,9.4,22,87.5
1329,23,56277.0,3815.49,6.3,3.5,29,77.7
1330,30,33526.0,3822.81,6.7,1.0,42,85.0
1331,50,53940.0,2595.49,5.6,12.5,31,93.3
1332,41,53359.0,1964.95,6.1,22.4,47,100.0
1333,28,108897.0,1897.46,6.5,8.7,47,97.9
1334,25,77257.0,3295.16,8.1,6.9,54,84.1
1335,35,55240.0,3559.71,6.4,8.1,64,91.6
1336,23,60453.0,2328.22,7.6,17.8,56,100.0
1337,28,55932.0,3229.24,6.5,8.8,21,100.0
1338,38,450000.0,3827.59,7.2,12.9,22,100.0
1339,47,36453.0,3880.01,6.9,12.5,37,84.4
1340,41,51932.0,4907.07,7.8,15.2,30,100.0
1341,18,41422.0,4604.68,6.5,6.8,18,99.4
1342,38,34200.0,2098.58,5.6,4.9,30,75.2
1343,36,66793.0,5051.94,5.8,10.9,29,95.1
1344,39,63817.0,2615.93,6.5,14.4,26,100.0
1345,51,27893.0,4349.36,5.9,16.3,32,92.3
1346,18,52495.0,3274.79,7.4,19.3,59,100.0
1347,29,80294.0,2746.64,6.6,13.6,42,84.2
1348,41,82256.0,1211.53,9.1,4.6,82,77.1
1349,19,81219.0,3011.28,5.4,8.7,41,95.7
1350,50,55819.0,1484.68,7.2,8.2,33,91.0
1351,39,39894.0,4264.03,6.0,7.5,38,80.5
1352,43,36435.0,4868.47,6.6,10.9,43,96.6
1353,29,62695.0,2323.4,7.1,6.4,46,82.7
1354,43,63527.0,3532.17,4.9,6.4,75,79.0
1355,46,89704.0,2402.07,7.2,23.3,23,100.0
1356,37,83540.0,2508.67,8.7,7.1,53,80.7
1357,37,52305.0,4051.94,6.6,15.1,42,100.0
1358,38,34279.0,3157.61,7.2,15.7,10,100.0
1359,26,48719.0,5113.61,7.9,8.9,52,74.5
1360,34,59733.0,2669.54,6.9,6.6,61,74.1
1361,33,50935.0,4299.27,6.5,3.7,23,91.8
1362,39,44156.0,3307.15,5.0,1.6,38,72.4
1363,45,60548.0,4075.36,7.6,11.5,7,82.3
1364,24,45414.0,2708.13,6.9,9.9,15,75.2
1365,34,43322.0,3145.49,6.1,12.7,57,94.0
1366,50,61910.0,3072.95,7.1,5.1,30,96.0
1367,28,47209.0,2280.34,6.5,24.8,18,100.0
1368,27,60346.0,3928.29,6.5,10.5,42,100.0
1369,37,61017.0,3915.27,7.5,6.9,29,88.7
1370,43,35671.0,3852.91,5.8,0.9,30,73.3
1371,35,45808.0,4890.66,7.9,5.6,51,69.8
1372,48,94982.0,4794.28,5.7,13.1,17,100.0
1373,44,35366.0,2787.56,6.4,18.9,22,100.0
1374,43,24606.0,3610.36,8.7,7.7,41,98.0
1375,41,27108.0,2514.04,8.0,21.0,55,100.0
1376,58,55612.0,3225.69,7.1,3.4,60,78.5
1377,33,55650.0,2540.28,6.2,10.1,26,93.1
1378,18,52596.0,4982.08,6.5,10.3,55,89.1
1379,51,87245.0,3600.07,7.1,11.5,24,98.5
1380,30,19919.0,2960.17,7.0,8.5,71,85.0
1381,36,63930.0,4512.98,6.9,9.8,18,83.9
1382,48,99552.0,812.32,7.0,3.3,62,92.3
1383,19,35830.0,984.49,6.8,17.8,26,100.0
1384,22,47608.0,4075.42,5.7,14.1,74,89.8
1385,19,41315.0,3266.52,6.5,9.5,49,94.6
1386,27,39153.0,3475.49,7.8,14.3,20,94.6
1387,39,48587.0,1740.96,5.8,18.1,29,94.6
1388,40,94611.0,3174.44,6.8,11.4,52,100.0
1389,38,110558.0,5403.86,6.3,26.6,57,100.0
1390,21,48409.0,4106.62,7.1,12.1,37,100.0
1391,18,113438.0,3386.68,6.7,3.8,39,74.2
1392,36,55749.0,2717.04,8.3,9.1,52,89.5
1393,30,107097.0,2765.97,7.5,14.7,40,100.0
1394,40,53084.0,857.88,5.8,18.1,15,100.0
1395,42,57808.0,3483.4,7.6,8.6,23,80.9
1396,36,63194.0,4130.03,6.3,3.6,42,82.7
1397,43,184067.0,1466.82,6.5,6.4,60,83.2
1398,37,76007.0,2472.44,7.3,2.3,67,62.1
1399,40,42038.0,1926.79,6.6,12.9,52,94.9
1400,28,79484.0,2138.11,7.8,5.5,210,96.5
1401,33,47935.0,3258.83,6.3,4.3,51,93.8
1402,37,45660.0,907.16,6.4,13.8,26,100.0
1403,43,77680.0,3875.7,6.4,20.7,35,100.0
1404,31,55654.0,4029.24,6.5,4.3,23,82.4
1405,40,61142.0,2923.79,8.0,8.7,16,98.6
1406,32,55293.0,500.0,7.6,6.7,44,92.2
1407,34,62504.0,2103.94,8.5,18.7,41,100.0
1408,43,64639.0,4556.19,9.0,7.2,50,92.5
1409,18,26345.0,500.0,6.1,3.3,48,73.7
1410,22,70855.0,2817.72,7.1,7.5,42,79.6
1411,20,37870.0,1902.0,5.9,16.2,48,83.5
1412,18,31793.0,4085.03,6.3,6.4,37,85.1
1413,28,53793.0,2457.37,6.4,4.7,45,80.0
1414,42,56784.0,3644.35,6.0,7.0,25,88.0
1415,32,42258.0,3822.01,6.1,3.4,45,61.3
1416,37,75424.0,5219.85,6.9,6.6,50,89.8
1417,46,33026.0,2976.76,5.9,5.0,26,98.3
1418,48,47120.0,3613.65,7.8,29.7,39,100.0
1419,34,44039.0,1566.44,6.2,1.2,27,69.4
1420,49,54035.0,4509.45,9.5,3.8,29,85.5
1421,36,61148.0,2363.44,6.6,4.7,18,98.9
1422,27,,2583.17,7.1,3.4,61,66.4
1423,29,72426.0,3175.53,5.8,10.2,57,91.1
1424,20,56333.0,1480.83,8.5,4.3,48,73.5
1425,26,26800.0,3451.65,8.0,2.1,73,70.1
1426,31,26130.0,4264.21,7.3,8.1,35,86.9
1427,43,54743.0,3522.23,5.8,6.1,93,93.5
1428,52,50570.0,1452.21,7.2,4.4,34,97.1
1429,21,52880.0,3063.81,6.0,18.4,43,100.0
1430,39,54418.0,4016.23,8.3,10.4,31,90.7
1431,25,59922.0,1134.21,7.7,9.6,45,100.0
1432,40,78842.0,2017.76,7.1,10.6,53,88.2
1433,34,36057.0,4164.2,4.8,10.2,36,81.3
1434,18,35233.0,3497.1,6.1,6.3,70,63.3
1435,44,36302.0,3653.17,7.6,4.3,42,93.6
1436,29,61382.0,5245.44,8.1,8.3,43,99.1
1437,30,88271.0,3715.41,8.0,6.2,22,100.0
1438,24,46685.0,3923.68,5.6,1.1,46,54.7
1439,28,21257.0,6181.82,7.3,3.1,36,91.0
1440,39,28784.0,2964.81,7.9,5.6,27,83.8
1441,33,40076.0,2322.33,5.5,14.0,24,100.0
1442,38,44496.0,3670.58,7.0,8.3,86,70.8
1443,39,47094.0,3682.89,7.2,3.7,33,92.2
1444,48,55812.0,2620.61,6.7,2.9,12,82.6
1445,32,48856.0,2064.36,5.3,16.0,25,100.0
1446,20,81948.0,5740.83,6.7,6.5,37,89.2
1447,46,42540.0,3559.53,6.7,0.2,48,61.2
1448,32,39633.0,2394.49,6.9,6.9,48,78.2
1449,46,65977.0,4207.52,6.5,12.0,50,89.8
1450,39,30685.0,3079.94,6.6,2.8,26,55.8
